what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144503040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144505970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144508206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144508974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144509681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144511594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144522862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144523580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144524223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144525875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144529898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144583722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144596522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144608065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288144612211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144626220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144636137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144645401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144645490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144666875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144679387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144692130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144724411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144736674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144748267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144749882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144750003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144758787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144793217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144813666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144813747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144826858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144828783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144829658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144876040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144901916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144909318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288144910356
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288144930455
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288144932907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288144936317
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288144951201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288144951363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288144951546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288144951763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288144952057
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144983747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288144993613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288144996218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288145002501
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145004213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145004989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145006247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145019917
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145025538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145114615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145126483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145127141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145127831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145134077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145150426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145151220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145151894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145154284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145169802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145226295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288145229575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145236329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145236427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145247634
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145292753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145293941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145294925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145295746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145300854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145303122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145315090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145324955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145339199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145354163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145355493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145356058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145372283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145384050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145385005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145385418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145392932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145397169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145398100
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145398805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145402643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145406049
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145406703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145407572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145410877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145416082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145424431
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145431673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145438298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145455290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145456088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145456966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145462341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145564720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145565542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145566375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288145569294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145573257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145573594
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145573769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145573915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574586
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574692
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145574992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575119
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575231
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575258
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288145575290
