what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1287960083684
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960097179
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1287960107687
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1287960107850
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1287960107855
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1287960108048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960108587
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1287960108726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960115618
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960122977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960133200
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960141034
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960142616
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960208076
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960224835
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960227453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960231686
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960239482
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960244094
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287960249128
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1287960250873
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287960250926
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287960251080
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1287960251497
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1287960259220
