what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288150776955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288150777997
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288150785534
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288150788843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1288150816943
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288150818487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288150821435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288150823104
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288150823445
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288150824038
